age,male,female,lnmale,lnfemale
109,0.548458,0.514733,-0.600644575,-0.664106959
110,0.575881,0.545617,-0.551854237,-0.605838015
111,0.604675,0.578354,-0.503064155,-0.547569141
112,0.634909,0.613055,-0.454273597,-0.489300624
113,0.666655,0.649839,-0.405482608,-0.431030639
114,0.699987,0.688829,-0.356693516,-0.372762225
115,0.734987,0.730159,-0.307902467,-0.31449296
116,0.771736,0.771736,-0.259112756,-0.259112756
117,0.810323,0.810323,-0.210322345,-0.210322345
118,0.850839,0.850839,-0.161532357,-0.161532357
119,0.893381,0.893381,-0.112742137,-0.112742137

